imię i nazwisko,narodowość,flaga,pozycja,data urodzenia,wiek,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,SUMA
Bartosz Martosz,Polska,https://flagcdn.com/w40/pl.png,napastnik,11.11.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,20,31
Dalibor Takáč,Słowacja,https://flagcdn.com/w40/sk.png,pomocnik,11.10.1997,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20
Marcin Biernat,Polska,https://flagcdn.com/w40/pl.png,obrońca,28.05.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,19,49
Mateusz Kizyma,Polska,https://flagcdn.com/w40/pl.png,pomocnik,08.07.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,19,47
Jan Majsterek,Polska,https://flagcdn.com/w40/pl.png,obrońca,09.06.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,19,47
Maciej Górski,Polska,https://flagcdn.com/w40/pl.png,napastnik,01.03.1990,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,33
Maksymilian Sitek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.12.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,19,,29,29,,18,95
Lucjan Klisiewicz,Polska,https://flagcdn.com/w40/pl.png,napastnik,20.04.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,17,49
Krzysztof Kolanko,Polska,https://flagcdn.com/w40/pl.png,pomocnik,03.08.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17
Marcin Urynowicz,Polska,https://flagcdn.com/w40/pl.png,napastnik,16.03.1996,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16,30
Wojciech Szumilas,Polska,https://flagcdn.com/w40/pl.png,pomocnik,07.11.1996,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,31
Kacper Gach,Polska,https://flagcdn.com/w40/pl.png,obrońca,11.07.1998,27,,,,,,,,,,,,,,,,,,,,,,,1,8,19,13,18,,,27,15,101
Daniel Dziwniel,Polska /Niemcy,https://flagcdn.com/w40/pl.png,obrońca,19.08.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,34
Oskar Zawada,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.11.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13
Kacper Piątek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,22.10.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11
Konrad Forenc,Polska,https://flagcdn.com/w40/pl.png,bramkarz,17.07.1992,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,42
Unai Buján,Hiszpania,https://flagcdn.com/w40/es.png,pomocnik,08.02.2001,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10
Bartosz Bieroński,Polska,https://flagcdn.com/w40/pl.png,pomocnik,10.05.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,9,16
Richard Nagy,Słowacja,https://flagcdn.com/w40/sk.png,obrońca,10.08.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
Wojciech Słomka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.11.1998,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9
Krystian Wieczorek,Polska,https://flagcdn.com/w40/pl.png,bramkarz,22.07.2002,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,8,13
Dawid Ściuk,Polska,https://flagcdn.com/w40/pl.png,obrońca,30.06.2005,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,16
Michał Bednarski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,31.01.2000,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,4,31
Szymon Brańczyk,Polska,https://flagcdn.com/w40/pl.png,bramkarz,13.08.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Kornel Osyra,Polska,https://flagcdn.com/w40/pl.png,obrońca,07.02.1993,32,,,,,,,,,,,,,,,,,,,,,,,,,32,2,,,,17,3,54
Bartosz Florek,Polska,https://flagcdn.com/w40/pl.png,napastnik,06.08.2004,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,3,33
Łukasz Kabaj,Polska,https://flagcdn.com/w40/pl.png,obrońca,13.02.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
Piotr Szumiński,Polska,https://flagcdn.com/w40/pl.png,pomocnik,13.07.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Grzegorz Janusz,Polska,https://flagcdn.com/w40/pl.png,napastnik,08.05.2006,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Krzysztof Wiesner,Polska,https://flagcdn.com/w40/pl.png,pomocnik,13.10.2009,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Krzysztof Zagórski,Polska,https://flagcdn.com/w40/pl.png,napastnik,04.02.1967,58,17,17,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
Mariusz Brańka,Polska,https://flagcdn.com/w40/pl.png,,,125,16,18,,,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,66
Mrózek,Polska,https://flagcdn.com/w40/pl.png,,,125,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
Tomasz Duleba,Polska,https://flagcdn.com/w40/pl.png,,,125,16,24,23,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,80
Tomasz Gębczyński,Polska,https://flagcdn.com/w40/pl.png,,,125,16,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Krzysztof Nolka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,15,25,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
Rafał Studencki,Polska,https://flagcdn.com/w40/pl.png,,,125,15,23,22,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,61
Wiesław Wawrzuta,Polska,https://flagcdn.com/w40/pl.png,,,125,14,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
Jurasz,Polska,https://flagcdn.com/w40/pl.png,,,125,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
Paduch,Polska,https://flagcdn.com/w40/pl.png,,,125,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Czechowski,Polska,https://flagcdn.com/w40/pl.png,,,125,7,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
Dariusz Ziółkowski,Polska,https://flagcdn.com/w40/pl.png,,,125,6,23,27,,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,88
Krystian Gańcarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,6,24,26,18,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,80
Mariusz Smagoń,Polska,https://flagcdn.com/w40/pl.png,,,125,4,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
Marek Sokołowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.03.1978,47,4,26,28,30,32,18,,7,,,,,,,,12,25,26,29,31,29,20,,,,,,,,,,287
Grzegorz Bak,Polska,https://flagcdn.com/w40/pl.png,,,125,,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Bubula,Polska,https://flagcdn.com/w40/pl.png,,,125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Włodarczak,Polska,https://flagcdn.com/w40/pl.png,,,125,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Kubinek,Polska,https://flagcdn.com/w40/pl.png,,,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Kusiak,Polska,https://flagcdn.com/w40/pl.png,,,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bartosz Żelichowski,Polska,https://flagcdn.com/w40/pl.png,,,125,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Przemysław Bieniek,Polska,https://flagcdn.com/w40/pl.png,,,125,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Michał Klimczak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,2,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Filimowski,Polska,https://flagcdn.com/w40/pl.png,,,125,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Krzysztof Szczygieł,Polska,https://flagcdn.com/w40/pl.png,,,125,1,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Jerzy Pilarz,Polska,https://flagcdn.com/w40/pl.png,,,125,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
Kaletka,Polska,https://flagcdn.com/w40/pl.png,,,125,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Jerzy Gruszfeld,Polska,https://flagcdn.com/w40/pl.png,,,125,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Szal,Polska,https://flagcdn.com/w40/pl.png,,,125,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Marcin Ślęzak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,,3,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
Janicki,Polska,https://flagcdn.com/w40/pl.png,,,125,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Zygmunt,Polska,https://flagcdn.com/w40/pl.png,,,125,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Paweł Senecki,Polska,https://flagcdn.com/w40/pl.png,,,125,,,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Marek Móll,Polska,https://flagcdn.com/w40/pl.png,,26.06.1968,57,,,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Krzysztof Skrzyp,Polska,https://flagcdn.com/w40/pl.png,,,125,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Andrzej Fluder,Polska,https://flagcdn.com/w40/pl.png,,,125,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Jacek Czernek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Jarosław Gawłowski,Polska,https://flagcdn.com/w40/pl.png,,,125,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Mirosław Marasik,Polska,https://flagcdn.com/w40/pl.png,,,125,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Bogusław Zioło,Polska,https://flagcdn.com/w40/pl.png,,,125,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Tomasz Moskała,Polska,https://flagcdn.com/w40/pl.png,napastnik,05.02.1977,48,,,20,32,27,20,,,,,,,,,,,,,,,,,,,,,,,,,,99
Maciej Matejko,Polska,https://flagcdn.com/w40/pl.png,,,125,,,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
Piotr Kuś,Polska,https://flagcdn.com/w40/pl.png,,,125,,,12,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
Foltyn,Polska,https://flagcdn.com/w40/pl.png,,,125,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Damian Połącarz,Polska,https://flagcdn.com/w40/pl.png,,,125,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Wrzaszcz,Polska,https://flagcdn.com/w40/pl.png,,,125,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Mirosław Majdak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,,125,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Adam Majdak,Polska,https://flagcdn.com/w40/pl.png,napastnik,,125,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Brycz,Polska,https://flagcdn.com/w40/pl.png,,,125,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Piotr Kalinowski,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,28,4,,,,,,,,,,,,,,,,,,,,,,,,,,,32
Robert Wszołek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Sławomir Frączek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Mariusz Sibik,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,35
Łukasz Nolka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,,125,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Dariusz Drewniak,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,8,22,,12,,,,,,,,,,,,,,,,,,,,,,,,,42
Distel,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Kania,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Arkadiusz Rucki,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,1,5,4,9,,,,,,,,,,,,,,,,,,,,,,,,,19
Włodarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Waliczek,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Jarosław Matusiak,Polska,https://flagcdn.com/w40/pl.png,bramkarz,15.02.1965,60,,,,1,34,38,29,,,,,,,,,,,,,,,,,,,,,,,,,102
Arkadiusz Lazar,Polska,https://flagcdn.com/w40/pl.png,napastnik,05.01.1971,54,,,,,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,40
Janusz Pancer,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Nalepa,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Roman Skorupa,Polska,https://flagcdn.com/w40/pl.png,pomocnik,28.04.1967,58,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,13
Młynarczyk,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Koźmiński,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,3
Arkadiusz Kłoda,Polska,https://flagcdn.com/w40/pl.png,obrońca,24.11.1980,45,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,36
Daniel Dziarmaga,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.09.1974,51,,,,,33,31,15,,,,,,,,,,,,,,,,,,,,,,,,,79
Sebastian Olszar,Polska /Niemcy,https://flagcdn.com/w40/pl.png,napastnik,16.12.1981,44,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,20
Marcin Radzewicz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.06.1980,45,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,20
Marcin Domagała,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24
Samson Godwin,Nigeria,https://flagcdn.com/w40/ng.png,pomocnik,11.11.1983,42,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,23
Grzegorz Jurczyk,Polska,https://flagcdn.com/w40/pl.png,obrońca,06.08.1975,50,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,9
Robert Sołtysek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,26.11.1974,51,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,14
Roman Cegiełka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,20.02.1972,53,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5
Kolber,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4
Karol Stawecki,Polska,https://flagcdn.com/w40/pl.png,napastnik,18.06.1978,47,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,31
Tomasz Matloch,Polska,https://flagcdn.com/w40/pl.png,obrońca,24.05.1973,52,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,28
Damian Galeja,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.02.1976,49,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,9
Artur Pajkos,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.12.1972,53,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21
Łysoń,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Marcin Folga,Polska,https://flagcdn.com/w40/pl.png,napastnik,31.03.1977,48,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6
Patryk Krupa,Polska,https://flagcdn.com/w40/pl.png,,,125,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,12
Piotr Bielak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.09.1976,49,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13
Grzegorz Bogdan,Polska,https://flagcdn.com/w40/pl.png,pomocnik,27.08.1980,45,,,,,,,31,26,9,,,2,,,,,,,,,,,,,,,,,,,,68
Jarosław Bujok,Polska,https://flagcdn.com/w40/pl.png,obrońca,04.09.1974,51,,,,,34,32,31,31,31,37,,,,,,,,,,,,,,,,,,,,,,196
Dawid Bułka,Polska,https://flagcdn.com/w40/pl.png,bramkarz,01.06.1976,49,,,,,,1,7,32,13,,,,,,,,,,,,,,,,,,,,,,,53
Piotr Cetnarowicz,Polska,https://flagcdn.com/w40/pl.png,napastnik,19.05.1973,52,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12
Piotr Czak,Polska,https://flagcdn.com/w40/pl.png,napastnik,18.05.1971,54,,,,,,,,32,29,,,,,,,,,,,,,,,,,,,,,,,61
Zdeněk Dembinný,Czechy,https://flagcdn.com/w40/cz.png,pomocnik,03.03.1980,45,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
Mariusz Gałgan,Polska,https://flagcdn.com/w40/pl.png,napastnik,15.06.1976,49,,,,,,16,,27,,,,,,,,,,,,,,,,,,,,,,,,43
Paweł Hajduczek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.05.1982,43,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,13
Lukáš Hojdys,Czechy,https://flagcdn.com/w40/cz.png,napastnik,28.11.1984,41,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Mariusz Jendryczko,Polska,https://flagcdn.com/w40/pl.png,obrońca,26.06.1973,52,,,,31,26,33,29,28,15,,,,,,,,,,,,,,,,,,,,,,,162
Marcin Klaczka,Polska,https://flagcdn.com/w40/pl.png,obrońca,13.08.1973,52,,,,,,,,31,28,,,,,,,,,,,,,,,,,,,,,,,59
Michał Kurzeja,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.02.1971,54,,,,26,28,30,26,9,,,,,,,,,,,,,,,,,,,,,,,,119
Sebastian Łukiewicz,Polska,https://flagcdn.com/w40/pl.png,bramkarz,07.03.1971,54,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Robert Piekarski,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.04.1970,55,,,,,30,38,33,33,27,14,,,,,,,,,,,,,,,,,,,,,,175
Adrian Sikora,Polska,https://flagcdn.com/w40/pl.png,napastnik,19.03.1980,45,,,,,,13,24,15,,,,,,,,,,,,,,,,,,,,,,,,52
Andrzej Szłapa,Polska,https://flagcdn.com/w40/pl.png,pomocnik,19.06.1975,50,,,,,,,33,33,16,,,,,,,,,,,,,,,,,,,,,,,82
Dariusz Turkowski,Polska,https://flagcdn.com/w40/pl.png,obrońca,02.11.1975,50,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10
Grzegorz Więzik,Polska,https://flagcdn.com/w40/pl.png,pomocnik,21.07.1963,62,,,,30,34,26,24,19,,,,,,,,,,,,,,,,,,,,,,,,133
Grzegorz Wilczok,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.03.1969,56,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11
Bartosz Woźniak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,23.09.1977,48,,,,,31,34,33,27,23,,,,,,,,,,,,,,,,,,,,,,,148
